Eph bin centers    value    Error 
 6.188500e+04   0.000000e+00   0.000000e+00
 6.208300e+04   0.000000e+00   0.000000e+00
 6.228100e+04   0.000000e+00   0.000000e+00
 6.247900e+04   0.000000e+00   0.000000e+00
 6.267700e+04   0.000000e+00   0.000000e+00
 6.287500e+04   0.000000e+00   0.000000e+00
 6.307300e+04   0.000000e+00   0.000000e+00
 6.327100e+04   0.000000e+00   0.000000e+00
 6.346900e+04   0.000000e+00   0.000000e+00
 6.366700e+04   0.000000e+00   0.000000e+00
 6.386500e+04   0.000000e+00   0.000000e+00
 6.406300e+04   0.000000e+00   0.000000e+00
 6.426100e+04   0.000000e+00   0.000000e+00
 6.445900e+04   0.000000e+00   0.000000e+00
 6.465700e+04   0.000000e+00   0.000000e+00
 6.485500e+04   0.000000e+00   0.000000e+00
 6.505300e+04   0.000000e+00   0.000000e+00
 6.525100e+04   0.000000e+00   0.000000e+00
 6.544900e+04   0.000000e+00   0.000000e+00
 6.564700e+04   0.000000e+00   0.000000e+00
 6.584500e+04   0.000000e+00   0.000000e+00
 6.604300e+04   0.000000e+00   0.000000e+00
 6.624100e+04   0.000000e+00   0.000000e+00
 6.643900e+04   0.000000e+00   0.000000e+00
 6.663700e+04   0.000000e+00   0.000000e+00
 6.683500e+04   0.000000e+00   0.000000e+00
 6.703300e+04   0.000000e+00   0.000000e+00
 6.723100e+04   0.000000e+00   0.000000e+00
 6.742900e+04   0.000000e+00   0.000000e+00
 6.762700e+04   0.000000e+00   0.000000e+00
 6.782500e+04   0.000000e+00   0.000000e+00
 6.802300e+04   0.000000e+00   0.000000e+00
 6.822100e+04   0.000000e+00   0.000000e+00
 6.841900e+04   0.000000e+00   0.000000e+00
 6.861700e+04   0.000000e+00   0.000000e+00
 6.881500e+04   0.000000e+00   0.000000e+00
 6.901300e+04   0.000000e+00   0.000000e+00
 6.921100e+04   0.000000e+00   0.000000e+00
 6.940900e+04   0.000000e+00   0.000000e+00
 6.960700e+04   0.000000e+00   0.000000e+00
 6.980500e+04   0.000000e+00   0.000000e+00
 7.000300e+04   0.000000e+00   0.000000e+00
 7.020100e+04   0.000000e+00   0.000000e+00
 7.039900e+04   0.000000e+00   0.000000e+00
 7.059700e+04   0.000000e+00   0.000000e+00
 7.079500e+04   0.000000e+00   0.000000e+00
 7.099300e+04   0.000000e+00   0.000000e+00
 7.119100e+04   0.000000e+00   0.000000e+00
 7.138900e+04   0.000000e+00   0.000000e+00
 7.158700e+04   0.000000e+00   0.000000e+00
 7.178500e+04   0.000000e+00   0.000000e+00
 7.198300e+04   0.000000e+00   0.000000e+00
 7.218100e+04   0.000000e+00   0.000000e+00
 7.237900e+04   0.000000e+00   0.000000e+00
 7.257700e+04   0.000000e+00   0.000000e+00
 7.277500e+04   0.000000e+00   0.000000e+00
 7.297300e+04   0.000000e+00   0.000000e+00
