cos_theta,num,num_err,ana,diff,rel_diff_percent
9.999983070000000307e-01,3.990223771842992865e+06,1.886256693016201098e+04,4.097473386660461314e+06,-1.072496148174684495e+05,-2.617457264435814945e+00
9.999983089999999741e-01,3.994121398270848207e+06,1.751740105045566452e+04,4.107757996213326696e+06,-1.136365979424784891e+05,-2.766389793343050574e+00
9.999983110000000286e-01,4.045505206417880487e+06,1.808659110399009296e+04,4.118079961242644582e+06,-7.257475482476409525e+04,-1.762344478684294780e+00
9.999983129999999720e-01,4.056105614623664878e+06,1.596481495545076723e+04,4.128439460340552963e+06,-7.233384571688808501e+04,-1.752086869911889222e+00
9.999983150000000265e-01,4.046480627181334887e+06,1.542958110384162501e+04,4.138836675467112567e+06,-9.235604828577768058e+04,-2.231449451320866473e+00
9.999983169999999699e-01,4.060471020969203673e+06,1.230792780455634784e+04,4.149271785636600573e+06,-8.880076466739689931e+04,-2.140153001661535548e+00
9.999983190000000244e-01,4.097653773767330218e+06,1.777800727463594740e+04,4.159744975560559426e+06,-6.209120179322920740e+04,-1.492668472659478773e+00
9.999983209999999678e-01,4.096997855128021445e+06,1.560629037226455694e+04,4.170256426416590810e+06,-7.325857128856936470e+04,-1.756692246177265382e+00
9.999983230000000223e-01,4.085155982598877512e+06,1.400112598162453287e+04,4.180806324544100557e+06,-9.565034194522304460e+04,-2.287844365898803467e+00
9.999983249999999657e-01,4.101379580364521593e+06,1.843314628755183730e+04,4.191394855069878977e+06,-9.001527470535738394e+04,-2.147620966716500046e+00
9.999983270000000202e-01,4.148053527073879726e+06,1.993911462898298123e+04,4.202022205408222973e+06,-5.396867833434324712e+04,-1.284350146100673218e+00
9.999983289999999636e-01,4.130848226191492751e+06,1.873166953984369684e+04,4.212688561742682010e+06,-8.184033555118925869e+04,-1.942710322676547419e+00
9.999983310000000181e-01,4.129160263522414491e+06,2.330398509231401476e+04,4.223394115519150160e+06,-9.423385199673566967e+04,-2.231235101892739436e+00
9.999983329999999615e-01,4.188153913804848213e+06,1.698299935149737939e+04,4.234139053999467753e+06,-4.598514019461954013e+04,-1.086056447560055149e+00
9.999983350000000160e-01,4.139922438211814966e+06,1.943858528024757106e+04,4.244923572128701024e+06,-1.050011339168860577e+05,-2.473569479702815155e+00
9.999983369999999594e-01,4.182379625565561466e+06,1.524021419571165279e+04,4.255747860062690452e+06,-7.336823449712898582e+04,-1.723979824689337192e+00
9.999983390000000139e-01,4.222819210897690617e+06,1.391679853193384406e+04,4.266612112100673839e+06,-4.379290120298322290e+04,-1.026409245845920415e+00
9.999983409999999573e-01,4.229239509631847963e+06,2.103609321636974710e+04,4.277516523121876642e+06,-4.827701349002867937e+04,-1.128622489920728000e+00
