th3_cms bin centers    value    Error 
 1.500310e-03   1.426018e+04   1.270077e+02
 1.500930e-03   1.409366e+04   1.504849e+02
 1.501550e-03   1.397459e+04   1.336150e+02
 1.502170e-03   1.422846e+04   1.561915e+02
 1.502790e-03   1.419900e+04   1.780099e+02
 1.503410e-03   1.416669e+04   1.586034e+02
 1.504030e-03   1.406611e+04   1.040066e+02
 1.504650e-03   1.406898e+04   1.629767e+02
 1.505270e-03   1.415590e+04   1.170704e+02
 1.505890e-03   1.411580e+04   1.077802e+02
 1.506510e-03   1.399683e+04   8.536700e+01
 1.507130e-03   1.428663e+04   1.467431e+02
 1.507750e-03   1.363698e+04   2.235767e+02
 1.508370e-03   1.400979e+04   1.054019e+02
 1.508990e-03   1.399593e+04   1.633730e+02
 1.509610e-03   1.402231e+04   1.743800e+02
 1.510230e-03   1.423579e+04   1.202588e+02
 1.510850e-03   1.381822e+04   7.747623e+01
 1.511470e-03   1.390051e+04   1.523605e+02
 1.512090e-03   1.334997e+04   2.221671e+02
 1.512710e-03   1.388808e+04   9.022478e+01
 1.513330e-03   1.386858e+04   1.292382e+02
 1.513950e-03   1.385798e+04   1.279320e+02
 1.514570e-03   1.357576e+04   1.443512e+02
 1.515190e-03   1.375901e+04   1.145343e+02
 1.515810e-03   1.368177e+04   1.400854e+02
 1.516430e-03   1.406494e+04   2.321830e+02
 1.517050e-03   1.370717e+04   1.163808e+02
 1.517670e-03   1.378640e+04   1.265881e+02
 1.518290e-03   1.353500e+04   1.160577e+02
 1.518910e-03   1.362890e+04   1.627288e+02
 1.519530e-03   1.380694e+04   1.812691e+02
 1.520150e-03   1.379005e+04   1.218117e+02
 1.520770e-03   1.347858e+04   1.601212e+02
 1.521390e-03   1.359062e+04   2.119652e+02
 1.522010e-03   1.358010e+04   1.246942e+02
 1.522630e-03   1.336283e+04   1.030529e+02
 1.523250e-03   1.367627e+04   1.303381e+02
 1.523870e-03   1.338932e+04   1.254239e+02
 1.524490e-03   1.341862e+04   1.676162e+02
 1.525110e-03   1.334917e+04   1.040819e+02
 1.525730e-03   1.328037e+04   2.283518e+02
 1.526350e-03   1.341934e+04   1.048622e+02
 1.526970e-03   1.352878e+04   1.487587e+02
 1.527590e-03   1.307614e+04   1.557425e+02
 1.528210e-03   1.360514e+04   1.179002e+02
 1.528830e-03   1.343928e+04   7.826002e+01
 1.529450e-03   1.357505e+04   1.095294e+02
 1.530070e-03   1.310460e+04   1.495902e+02
 1.530690e-03   1.311699e+04   1.368493e+02
 1.531310e-03   1.365898e+04   1.373874e+02
 1.531930e-03   1.354201e+04   1.307592e+02
 1.532550e-03   1.335324e+04   8.595875e+01
 1.533170e-03   1.316458e+04   1.238403e+02
 1.533790e-03   1.326586e+04   1.672716e+02
 1.534410e-03   1.326020e+04   1.227670e+02
 1.535030e-03   1.322710e+04   1.278526e+02
 1.535650e-03   1.324062e+04   1.282797e+02
 1.536270e-03   1.310943e+04   1.126912e+02
 1.536890e-03   1.304041e+04   1.280106e+02
 1.537510e-03   1.300514e+04   1.260341e+02
 1.538130e-03   1.286057e+04   1.642627e+02
