th5_y_lab bin centers    value    Error 
 7.080000e-03   1.447487e-02   6.562129e-03
 7.128000e-03   4.538564e-03   2.121630e-03
 7.176000e-03   1.906904e-03   7.148653e-04
 7.224000e-03   3.309198e-03   1.182002e-03
 7.272000e-03   2.191573e-03   1.062810e-03
 7.320000e-03   1.585357e-03   6.262400e-04
 7.368000e-03   4.196624e-03   2.058853e-03
 7.416000e-03   2.511616e-03   5.454995e-04
 7.464000e-03   3.820175e-03   1.389890e-03
 7.512000e-03   4.215095e-03   1.561697e-03
 7.560000e-03   2.067956e-03   4.826373e-04
 7.608000e-03   2.502254e-03   7.689888e-04
 7.656000e-03   3.473434e-03   1.432394e-03
 7.704000e-03   6.087134e-04   2.065926e-04
 7.752000e-03   6.308643e-03   2.208446e-03
 7.800000e-03   1.666778e-03   6.322642e-04
 7.848000e-03   2.901619e-03   8.344014e-04
 7.896000e-03   5.845146e-03   1.694237e-03
 7.944000e-03   2.806650e-03   8.148421e-04
 7.992000e-03   1.825157e-03   6.030517e-04
 8.040000e-03   4.423907e-03   1.233742e-03
 8.088000e-03   3.273933e-03   1.069196e-03
 8.136000e-03   1.506844e-03   5.545091e-04
 8.184000e-03   3.306014e-04   1.689676e-04
 8.232000e-03   2.931018e-03   6.882356e-04
 8.280000e-03   1.556854e-03   4.627264e-04
 8.328000e-03   4.290868e-03   1.617458e-03
 8.376000e-03   9.243240e-03   3.437405e-03
 8.424000e-03   2.635879e-03   9.626728e-04
 8.472000e-03   1.370574e-02   9.215954e-03
 8.520000e-03   4.338259e-03   1.958360e-03
 8.568000e-03   6.014157e-04   3.232827e-04
 8.616000e-03   3.611959e-04   1.833695e-04
 8.664000e-03   7.914282e-04   5.057291e-04
 8.712000e-03   3.763639e-03   1.713617e-03
 8.760000e-03   3.912963e-03   1.273493e-03
 8.808000e-03   2.734958e-03   8.887298e-04
 8.856000e-03   7.825692e-03   3.648214e-03
 8.904000e-03   4.896434e-03   1.322381e-03
 8.952000e-03   1.389171e-03   9.282571e-04
 9.000000e-03   4.230139e-03   1.714756e-03
 9.048000e-03   1.991978e-03   6.140253e-04
 9.096000e-03   9.824559e-04   3.462806e-04
 9.144000e-03   3.794255e-03   1.052048e-03
 9.192000e-03   1.808822e-03   7.392522e-04
 9.240000e-03   1.863477e-03   6.979773e-04
 9.288000e-03   6.967885e-04   2.735563e-04
 9.336000e-03   4.650758e-03   2.548733e-03
 9.384000e-03   1.959475e-03   7.836896e-04
 9.432000e-03   1.620840e-03   6.802748e-04
 9.480000e-03   3.401278e-03   1.030199e-03
 9.528000e-03   1.370934e-03   5.861729e-04
 9.576000e-03   5.994066e-03   2.348120e-03
 9.624000e-03   1.643297e-03   6.716879e-04
 9.672000e-03   1.161172e-03   3.924048e-04
 9.720000e-03   3.168185e-03   1.033030e-03
 9.768000e-03   3.177147e-03   1.484086e-03
 9.816000e-03   1.718838e-03   5.318611e-04
 9.864000e-03   1.573132e-03   7.544721e-04
 9.912000e-03   4.969677e-04   2.230873e-04
 9.960000e-03   3.101723e-03   1.248236e-03
 1.000800e-02   2.294653e-03   5.501082e-04
 1.005600e-02   4.630882e-03   1.952563e-03
 1.010400e-02   5.975390e-03   1.883991e-03
 1.015200e-02   3.967107e-03   1.789897e-03
 1.020000e-02   2.593858e-03   1.033654e-03
 1.024800e-02   2.163478e-03   6.895801e-04
 1.029600e-02   1.282563e-03   5.299296e-04
 1.034400e-02   9.922023e-03   4.634659e-03
 1.039200e-02   5.582817e-03   2.112615e-03
 1.044000e-02   3.660680e-03   1.113467e-03
 1.048800e-02   1.831074e-03   5.124420e-04
 1.053600e-02   2.109405e-03   6.747547e-04
 1.058400e-02   6.672312e-03   3.525411e-03
 1.063200e-02   1.235602e-03   5.292149e-04
 1.068000e-02   1.523556e-03   4.252801e-04
 1.072800e-02   2.328004e-03   8.290595e-04
 1.077600e-02   4.024016e-03   1.199255e-03
 1.082400e-02   5.577344e-03   2.505286e-03
 1.087200e-02   1.288252e-03   5.483796e-04
 1.092000e-02   1.058369e-03   5.298280e-04
 1.096800e-02   1.072699e-03   4.238565e-04
 1.101600e-02   2.838096e-03   1.001986e-03
 1.106400e-02   3.393953e-03   9.491501e-04
 1.111200e-02   1.967928e-03   7.952937e-04
 1.116000e-02   4.040013e-03   1.213855e-03
 1.120800e-02   3.345637e-03   1.314410e-03
 1.125600e-02   3.457323e-03   1.086895e-03
 1.130400e-02   2.168070e-03   9.591382e-04
 1.135200e-02   2.689573e-03   5.641374e-04
 1.140000e-02   1.362208e-03   6.352444e-04
 1.144800e-02   4.364950e-03   1.378998e-03
 1.149600e-02   1.616659e-03   5.320758e-04
 1.154400e-02   2.946699e-03   1.234390e-03
 1.159200e-02   4.198898e-03   1.400584e-03
 1.164000e-02   3.669334e-03   1.604154e-03
 1.168800e-02   5.961702e-03   1.650690e-03
 1.173600e-02   1.139182e-03   3.463044e-04
 1.178400e-02   4.880615e-03   1.745024e-03
 1.183200e-02   7.464378e-03   3.600467e-03
 1.188000e-02   6.613647e-04   4.078413e-04
 1.192800e-02   2.400232e-03   1.051511e-03
 1.197600e-02   8.643115e-03   4.511956e-03
 inf   1.835104e-02   3.665160e-04
