th3_cms_lab bin centers    value    Error 
 1.447610e-03   0.000000e+00   0.000000e+00
 1.448230e-03   0.000000e+00   0.000000e+00
 1.448850e-03   0.000000e+00   0.000000e+00
 1.449470e-03   0.000000e+00   0.000000e+00
 1.450090e-03   0.000000e+00   0.000000e+00
 1.450710e-03   0.000000e+00   0.000000e+00
 1.451330e-03   0.000000e+00   0.000000e+00
 1.451950e-03   0.000000e+00   0.000000e+00
 1.452570e-03   0.000000e+00   0.000000e+00
 1.453190e-03   0.000000e+00   0.000000e+00
 1.453810e-03   0.000000e+00   0.000000e+00
 1.454430e-03   0.000000e+00   0.000000e+00
 1.455050e-03   0.000000e+00   0.000000e+00
 1.455670e-03   0.000000e+00   0.000000e+00
 1.456290e-03   0.000000e+00   0.000000e+00
 1.456910e-03   0.000000e+00   0.000000e+00
 1.457530e-03   0.000000e+00   0.000000e+00
 1.458150e-03   0.000000e+00   0.000000e+00
 1.458770e-03   0.000000e+00   0.000000e+00
 1.459390e-03   0.000000e+00   0.000000e+00
 1.460010e-03   0.000000e+00   0.000000e+00
 1.460630e-03   0.000000e+00   0.000000e+00
 1.461250e-03   0.000000e+00   0.000000e+00
 1.461870e-03   0.000000e+00   0.000000e+00
 1.462490e-03   0.000000e+00   0.000000e+00
 1.463110e-03   0.000000e+00   0.000000e+00
 1.463730e-03   0.000000e+00   0.000000e+00
 1.464350e-03   0.000000e+00   0.000000e+00
 1.464970e-03   0.000000e+00   0.000000e+00
 1.465590e-03   0.000000e+00   0.000000e+00
 1.466210e-03   0.000000e+00   0.000000e+00
 1.466830e-03   0.000000e+00   0.000000e+00
 1.467450e-03   0.000000e+00   0.000000e+00
 1.468070e-03   0.000000e+00   0.000000e+00
 1.468690e-03   0.000000e+00   0.000000e+00
 1.469310e-03   0.000000e+00   0.000000e+00
 1.469930e-03   0.000000e+00   0.000000e+00
 1.470550e-03   0.000000e+00   0.000000e+00
 1.471170e-03   0.000000e+00   0.000000e+00
 1.471790e-03   0.000000e+00   0.000000e+00
 1.472410e-03   0.000000e+00   0.000000e+00
 1.473030e-03   0.000000e+00   0.000000e+00
 1.473650e-03   0.000000e+00   0.000000e+00
 1.474270e-03   0.000000e+00   0.000000e+00
 1.474890e-03   0.000000e+00   0.000000e+00
 1.475510e-03   0.000000e+00   0.000000e+00
 1.476130e-03   0.000000e+00   0.000000e+00
 1.476750e-03   0.000000e+00   0.000000e+00
 1.477370e-03   0.000000e+00   0.000000e+00
 1.477990e-03   0.000000e+00   0.000000e+00
 1.478610e-03   0.000000e+00   0.000000e+00
 1.479230e-03   0.000000e+00   0.000000e+00
 1.479850e-03   0.000000e+00   0.000000e+00
 1.480470e-03   0.000000e+00   0.000000e+00
 1.481090e-03   0.000000e+00   0.000000e+00
 1.481710e-03   0.000000e+00   0.000000e+00
 1.482330e-03   0.000000e+00   0.000000e+00
 1.482950e-03   0.000000e+00   0.000000e+00
 1.483570e-03   0.000000e+00   0.000000e+00
 1.484190e-03   0.000000e+00   0.000000e+00
 1.484810e-03   0.000000e+00   0.000000e+00
 1.485430e-03   0.000000e+00   0.000000e+00
 1.486050e-03   0.000000e+00   0.000000e+00
 1.486670e-03   0.000000e+00   0.000000e+00
 1.487290e-03   0.000000e+00   0.000000e+00
 1.487910e-03   0.000000e+00   0.000000e+00
 1.488530e-03   0.000000e+00   0.000000e+00
 1.489150e-03   0.000000e+00   0.000000e+00
 1.489770e-03   0.000000e+00   0.000000e+00
 1.490390e-03   0.000000e+00   0.000000e+00
 1.491010e-03   0.000000e+00   0.000000e+00
 1.491630e-03   0.000000e+00   0.000000e+00
 1.492250e-03   0.000000e+00   0.000000e+00
 1.492870e-03   0.000000e+00   0.000000e+00
 1.493490e-03   0.000000e+00   0.000000e+00
 1.494110e-03   0.000000e+00   0.000000e+00
 1.494730e-03   0.000000e+00   0.000000e+00
 1.495350e-03   0.000000e+00   0.000000e+00
 1.495970e-03   0.000000e+00   0.000000e+00
 1.496590e-03   0.000000e+00   0.000000e+00
 1.497210e-03   0.000000e+00   0.000000e+00
 1.497830e-03   0.000000e+00   0.000000e+00
 1.498450e-03   0.000000e+00   0.000000e+00
 1.499070e-03   0.000000e+00   0.000000e+00
 1.499690e-03   0.000000e+00   0.000000e+00
 1.500310e-03   0.000000e+00   0.000000e+00
 1.500930e-03   0.000000e+00   0.000000e+00
 1.501550e-03   0.000000e+00   0.000000e+00
 1.502170e-03   0.000000e+00   0.000000e+00
 1.502790e-03   0.000000e+00   0.000000e+00
 1.503410e-03   0.000000e+00   0.000000e+00
 1.504030e-03   0.000000e+00   0.000000e+00
 1.504650e-03   0.000000e+00   0.000000e+00
 1.505270e-03   0.000000e+00   0.000000e+00
 1.505890e-03   0.000000e+00   0.000000e+00
 1.506510e-03   0.000000e+00   0.000000e+00
 1.507130e-03   0.000000e+00   0.000000e+00
 1.507750e-03   0.000000e+00   0.000000e+00
 1.508370e-03   0.000000e+00   0.000000e+00
 1.508990e-03   0.000000e+00   0.000000e+00
 1.509610e-03   0.000000e+00   0.000000e+00
 1.510230e-03   0.000000e+00   0.000000e+00
 1.510850e-03   0.000000e+00   0.000000e+00
 1.511470e-03   0.000000e+00   0.000000e+00
 1.512090e-03   0.000000e+00   0.000000e+00
 1.512710e-03   0.000000e+00   0.000000e+00
 1.513330e-03   0.000000e+00   0.000000e+00
 1.513950e-03   0.000000e+00   0.000000e+00
 1.514570e-03   0.000000e+00   0.000000e+00
 1.515190e-03   0.000000e+00   0.000000e+00
 1.515810e-03   0.000000e+00   0.000000e+00
 1.516430e-03   0.000000e+00   0.000000e+00
 1.517050e-03   0.000000e+00   0.000000e+00
 1.517670e-03   0.000000e+00   0.000000e+00
 1.518290e-03   0.000000e+00   0.000000e+00
 1.518910e-03   0.000000e+00   0.000000e+00
 1.519530e-03   0.000000e+00   0.000000e+00
 1.520150e-03   0.000000e+00   0.000000e+00
 1.520770e-03   0.000000e+00   0.000000e+00
 1.521390e-03   0.000000e+00   0.000000e+00
 1.522010e-03   0.000000e+00   0.000000e+00
 1.522630e-03   0.000000e+00   0.000000e+00
 1.523250e-03   0.000000e+00   0.000000e+00
 1.523870e-03   0.000000e+00   0.000000e+00
 1.524490e-03   0.000000e+00   0.000000e+00
 1.525110e-03   0.000000e+00   0.000000e+00
 1.525730e-03   0.000000e+00   0.000000e+00
 1.526350e-03   0.000000e+00   0.000000e+00
 1.526970e-03   0.000000e+00   0.000000e+00
 1.527590e-03   0.000000e+00   0.000000e+00
 1.528210e-03   0.000000e+00   0.000000e+00
 1.528830e-03   0.000000e+00   0.000000e+00
 1.529450e-03   0.000000e+00   0.000000e+00
 1.530070e-03   0.000000e+00   0.000000e+00
 1.530690e-03   0.000000e+00   0.000000e+00
