th3_cms bin centers    value    Error 
 1.624310e-03   8.927358e+03   7.055558e+02
 1.624930e-03   7.950084e+03   6.648020e+02
 1.625550e-03   8.129015e+03   6.807797e+02
 1.626170e-03   8.100429e+03   7.069191e+02
 1.626790e-03   7.039364e+03   7.838861e+02
 1.627410e-03   7.069675e+03   8.074466e+02
 1.628030e-03   7.942091e+03   6.374300e+02
 1.628650e-03   7.377718e+03   7.205675e+02
 1.629270e-03   7.297216e+03   6.843968e+02
 1.629890e-03   6.415258e+03   6.604566e+02
 1.630510e-03   5.653926e+03   6.899065e+02
 1.631130e-03   4.660259e+03   5.439445e+02
 1.631750e-03   0.000000e+00   0.000000e+00
 1.632370e-03   8.360486e+03   8.288518e+02
 1.632990e-03   0.000000e+00   0.000000e+00
 1.633610e-03   0.000000e+00   0.000000e+00
 1.634230e-03   0.000000e+00   0.000000e+00
 1.634850e-03   0.000000e+00   0.000000e+00
 1.635470e-03   0.000000e+00   0.000000e+00
 1.636090e-03   0.000000e+00   0.000000e+00
 1.636710e-03   0.000000e+00   0.000000e+00
 1.637330e-03   0.000000e+00   0.000000e+00
 1.637950e-03   0.000000e+00   0.000000e+00
 1.638570e-03   6.192165e+03   6.138460e+02
 1.639190e-03   0.000000e+00   0.000000e+00
 1.639810e-03   0.000000e+00   0.000000e+00
 1.640430e-03   0.000000e+00   0.000000e+00
 1.641050e-03   0.000000e+00   0.000000e+00
 1.641670e-03   0.000000e+00   0.000000e+00
 1.642290e-03   0.000000e+00   0.000000e+00
 1.642910e-03   0.000000e+00   0.000000e+00
 1.643530e-03   0.000000e+00   0.000000e+00
 1.644150e-03   0.000000e+00   0.000000e+00
 1.644770e-03   0.000000e+00   0.000000e+00
 1.645390e-03   0.000000e+00   0.000000e+00
 1.646010e-03   0.000000e+00   0.000000e+00
 1.646630e-03   0.000000e+00   0.000000e+00
 1.647250e-03   0.000000e+00   0.000000e+00
 1.647870e-03   3.852023e+03   5.136755e+02
 1.648490e-03   0.000000e+00   0.000000e+00
 1.649110e-03   0.000000e+00   0.000000e+00
 1.649730e-03   5.191177e+03   5.872769e+02
 1.650350e-03   0.000000e+00   0.000000e+00
 1.650970e-03   0.000000e+00   0.000000e+00
 1.651590e-03   0.000000e+00   0.000000e+00
 1.652210e-03   0.000000e+00   0.000000e+00
 1.652830e-03   0.000000e+00   0.000000e+00
 1.653450e-03   0.000000e+00   0.000000e+00
 1.654070e-03   0.000000e+00   0.000000e+00
 1.654690e-03   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
