Q2_GeV2,num,num_err,ana,diff,rel_diff_percent
1.034999999999999983e-02,2.340413506810740728e+03,2.334828757710646130e+00,2.341195615176929550e+03,-7.821083661888224015e-01,-3.340636558170372028e-02
1.044999999999999922e-02,2.294315368883561860e+03,1.654555590283860456e+00,2.295758397856799093e+03,-1.443028973237233004e+00,-6.285630816310505686e-02
1.055000000000000035e-02,2.252154210285969839e+03,1.491486742726807480e+00,2.251615437569780624e+03,5.387727161892144068e-01,2.392827421589913822e-02
1.064999999999999974e-02,2.207335223735713953e+03,1.937140407062162284e+00,2.208718196653658651e+03,-1.382972917944698565e+00,-6.261427646315342876e-02
1.074999999999999914e-02,2.167802213976868643e+03,1.741829463340033080e+00,2.167020388795524468e+03,7.818251813441747800e-01,3.607834911875146960e-02
1.085000000000000027e-02,2.125719640186149718e+03,2.031144254193806731e+00,2.126477854951519475e+03,-7.582147653697575151e-01,-3.565589754928549099e-02
1.094999999999999966e-02,2.087498081351021483e+03,1.813583182831220109e+00,2.087048447169351675e+03,4.496341816698077309e-01,2.154402224249481190e-02
1.104999999999999906e-02,2.049137762958371241e+03,2.449798322835585296e+00,2.048691919743684139e+03,4.458432146871018631e-01,2.176233578072012814e-02
1.115000000000000019e-02,2.014537208025782547e+03,2.155515673937916876e+00,2.011369827180302764e+03,3.167380845479783602e+00,1.574738172303234984e-01
1.124999999999999958e-02,1.972371922410131447e+03,2.155213745303559580e+00,1.975045428486693936e+03,-2.673506076562489397e+00,-1.353642826641696661e-01
1.134999999999999898e-02,1.938004793553216132e+03,1.398339968406441480e+00,1.939683597344791906e+03,-1.678803791575774085e+00,-8.655039377937036316e-02
1.145000000000000011e-02,1.906416525195857957e+03,2.373707772634349844e+00,1.905250737756456829e+03,1.165787439401128722e+00,6.118813740882793339e-02
1.154999999999999950e-02,1.868620091489778588e+03,2.262969476588686302e+00,1.871714704783965090e+03,-3.094613294186501662e+00,-1.653357365990071881e-01
1.164999999999999890e-02,1.839730250693362905e+03,2.076129438976107355e+00,1.839044730036936471e+03,6.855206564264335611e-01,3.727590989114577813e-02
1.175000000000000003e-02,1.802472882991040478e+03,2.510974815328249399e+00,1.807211351583663145e+03,-4.738468592622666620e+00,-2.621978103706761321e-01
1.184999999999999942e-02,1.775821330202188392e+03,2.435553184247723379e+00,1.776186347989221531e+03,-3.650177870331390295e-01,-2.055064703353716438e-02
1.194999999999999882e-02,1.747005876766692381e+03,2.712101081413586190e+00,1.745942676205034104e+03,1.063200561658277365e+00,6.089550224920561861e-02
1.204999999999999995e-02,1.716758425280547499e+03,2.419059136581286129e+00,1.716454413055070290e+03,3.040122254772086308e-01,1.771163994598059718e-02
1.214999999999999934e-02,1.685633084767836863e+03,1.961937351019516385e+00,1.687696700082692132e+03,-2.063615314855269389e+00,-1.222740623213968703e-01
1.224999999999999874e-02,1.655571730251079771e+03,1.891752116770460512e+00,1.659645691539373274e+03,-4.073961288293503458e+00,-2.454717479195681340e-01
1.234999999999999987e-02,1.632776348946287953e+03,1.960526797148187450e+00,1.632278505312478728e+03,4.978436338092251390e-01,3.049991972502997389e-02
1.244999999999999926e-02,1.606254462761190325e+03,1.852357139325092161e+00,1.605573176603847060e+03,6.812861573432655860e-01,4.243258216261067139e-02
1.254999999999999866e-02,1.579460550668763972e+03,1.879319543904639733e+00,1.579508614184399903e+03,-4.806351563593125320e-02,-3.042941026361510592e-03
1.264999999999999979e-02,1.555223879463772164e+03,1.533670827791048019e+00,1.554064559062389435e+03,1.159320401382728960e+00,7.459924329541234300e-02
1.274999999999999918e-02,1.529753953566543032e+03,1.695144583303100028e+00,1.529221545414303819e+03,5.324081522392134502e-01,3.481563242656059848e-02
1.284999999999999858e-02,1.503093122196228251e+03,1.699949225414868037e+00,1.504960863638035335e+03,-1.867741441807083902e+00,-1.241056486540172560e-01
1.294999999999999971e-02,1.483646932047899554e+03,1.397257546389012006e+00,1.481264525397571560e+03,2.382406650327993702e+00,1.608360025828982631e-01
1.304999999999999910e-02,1.458488780606101727e+03,1.829971213036597710e+00,1.458115230537526031e+03,3.735500685756960593e-01,2.561869327967920135e-02
1.315000000000000023e-02,1.434056730574254971e+03,1.731508044342829900e+00,1.435496335754077109e+03,-1.439605179822137870e+00,-1.002862315957011724e-01
1.324999999999999963e-02,1.414499777537297859e+03,1.834825954117146551e+00,1.413391824916596761e+03,1.107952620701098567e+00,7.838962990793285623e-02
1.334999999999999902e-02,1.392768352718568622e+03,1.316425059611239234e+00,1.391786280941330460e+03,9.820717772381613031e-01,7.056196706968112520e-02
1.345000000000000015e-02,1.369362512707038150e+03,2.036515708451302586e+00,1.370664859125088242e+03,-1.302346418050092325e+00,-9.501567136414335035e-02
1.354999999999999954e-02,1.347869635486083780e+03,1.014117131354071999e+00,1.350013261852993764e+03,-2.143626366909984426e+00,-1.587855784444441309e-01
1.364999999999999894e-02,1.329772358417003716e+03,1.057611817598522519e+00,1.329817714599981855e+03,-4.535618297813925892e-02,-3.410706781852632010e-03
1.375000000000000007e-02,1.309909148187844949e+03,2.284151328697613614e+00,1.310064943150992121e+03,-1.557949631471728935e-01,-1.189215572568883515e-02
1.384999999999999946e-02,1.289387281899989830e+03,1.561693353038166476e+00,1.290742151969654060e+03,-1.354870069664229959e+00,-1.049682980908865221e-01
1.394999999999999886e-02,1.273146599723473855e+03,1.538521600835023539e+00,1.271837003649778126e+03,1.309596073695729501e+00,1.029688607846441506e-01
1.404999999999999999e-02,1.252712987031491593e+03,1.819253932767312953e+00,1.253337599388172976e+03,-6.246123566813821526e-01,-4.983592265853125508e-02
1.414999999999999938e-02,1.235466056517598190e+03,1.561635794312073555e+00,1.235232460421188762e+03,2.335960964094283554e-01,1.891110409531959052e-02
1.424999999999999878e-02,1.217219959626947457e+03,1.623156967450487986e+00,1.217510510371037526e+03,-2.905507440900692018e-01,-2.386433148749768016e-02
1.434999999999999991e-02,1.201653301246022693e+03,1.716288839771145103e+00,1.200161058451293684e+03,1.492242794729008892e+00,1.243368783065351285e-01
