th5_x_cms bin centers    value    Error 
 4.728000e-03   9.148942e-04   4.193759e-04
 4.776000e-03   9.826960e-03   3.065078e-03
 4.824000e-03   3.820324e-03   1.002053e-03
 4.872000e-03   2.913088e-03   1.182314e-03
 4.920000e-03   5.527048e-04   1.375427e-04
 4.968000e-03   7.478479e-03   2.383608e-03
 5.016000e-03   4.281322e-03   1.670693e-03
 5.064000e-03   4.564283e-03   1.907282e-03
 5.112000e-03   6.057731e-03   2.021235e-03
 5.160000e-03   2.427675e-03   7.487829e-04
 5.208000e-03   4.937767e-03   1.516199e-03
 5.256000e-03   1.014047e-03   3.004171e-04
 5.304000e-03   5.539816e-03   2.532505e-03
 5.352000e-03   1.705877e-03   5.309995e-04
 5.400000e-03   2.575521e-03   4.890352e-04
 5.448000e-03   1.152896e-03   2.836320e-04
 5.496000e-03   1.417823e-03   4.677145e-04
 5.544000e-03   2.885661e-03   8.047039e-04
 5.592000e-03   4.827360e-03   2.107930e-03
 5.640000e-03   5.169052e-03   1.705766e-03
 5.688000e-03   4.832021e-03   1.502591e-03
 5.736000e-03   3.017569e-03   1.082951e-03
 5.784000e-03   2.439393e-03   6.180460e-04
 5.832000e-03   4.072597e-03   1.767215e-03
 5.880000e-03   8.778316e-04   3.797266e-04
 5.928000e-03   2.905128e-03   1.563616e-03
 5.976000e-03   3.607505e-03   1.119531e-03
 6.024000e-03   1.898011e-03   7.100136e-04
 6.072000e-03   3.034982e-03   1.046542e-03
 6.120000e-03   5.237391e-03   1.529784e-03
 6.168000e-03   2.344873e-03   6.552631e-04
 6.216000e-03   9.548610e-03   5.671866e-03
 6.264000e-03   1.611713e-03   6.131928e-04
 6.312000e-03   2.947304e-03   1.060837e-03
 6.360000e-03   1.682314e-03   4.805317e-04
 6.408000e-03   1.299423e-03   3.489619e-04
 6.456000e-03   3.247747e-03   1.144645e-03
 6.504000e-03   3.912036e-04   1.537539e-04
 6.552000e-03   6.532403e-03   1.635053e-03
 6.600000e-03   5.632185e-03   2.730268e-03
 6.648000e-03   1.757239e-03   7.167116e-04
 6.696000e-03   9.426561e-04   2.603584e-04
 6.744000e-03   3.045043e-03   8.756966e-04
 6.792000e-03   2.969308e-03   1.046673e-03
 6.840000e-03   2.071306e-03   5.954246e-04
 6.888000e-03   5.470061e-03   1.217794e-03
 6.936000e-03   2.097184e-03   6.679234e-04
 6.984000e-03   4.064235e-03   1.012200e-03
 7.032000e-03   2.400033e-03   1.097727e-03
 7.080000e-03   3.041228e-03   8.010216e-04
 7.128000e-03   7.000959e-04   5.013467e-04
 7.176000e-03   2.744455e-03   1.324133e-03
 7.224000e-03   2.190560e-03   6.225277e-04
 7.272000e-03   4.396905e-03   1.530802e-03
 7.320000e-03   2.543459e-03   6.892404e-04
 7.368000e-03   3.527251e-03   1.351231e-03
 7.416000e-03   2.371923e-03   1.038316e-03
 7.464000e-03   6.630182e-03   2.739601e-03
 7.512000e-03   1.648250e-03   3.909399e-04
 7.560000e-03   1.919273e-03   7.017769e-04
 7.608000e-03   1.388691e-03   5.966548e-04
 7.656000e-03   2.078991e-03   4.937159e-04
 7.704000e-03   1.481409e-03   5.928247e-04
 7.752000e-03   4.319597e-03   1.409391e-03
 7.800000e-03   8.396872e-03   2.563690e-03
 7.848000e-03   5.941373e-03   2.268917e-03
 7.896000e-03   1.719508e-03   4.117289e-04
 7.944000e-03   2.097961e-03   1.220667e-03
 7.992000e-03   2.668291e-03   9.661093e-04
 8.040000e-03   9.874636e-04   4.395551e-04
 8.088000e-03   5.581359e-03   1.746381e-03
 8.136000e-03   2.650570e-03   8.277653e-04
 8.184000e-03   3.814951e-03   1.285792e-03
 8.232000e-03   3.270937e-03   1.590341e-03
 8.280000e-03   1.718609e-03   6.195793e-04
 8.328000e-03   2.530762e-03   7.142955e-04
 8.376000e-03   4.999877e-03   1.999565e-03
 8.424000e-03   2.056944e-03   6.056258e-04
 8.472000e-03   4.369098e-03   1.956982e-03
 8.520000e-03   3.457531e-04   1.373909e-04
 8.568000e-03   6.440690e-03   1.921973e-03
 8.616000e-03   2.483492e-03   9.008343e-04
 8.664000e-03   5.239361e-03   2.607939e-03
 8.712000e-03   3.348312e-03   1.041720e-03
 8.760000e-03   2.268739e-03   9.264679e-04
 8.808000e-03   5.139619e-03   1.795436e-03
 8.856000e-03   7.947276e-03   4.158620e-03
 8.904000e-03   2.412334e-03   9.544057e-04
 8.952000e-03   2.740978e-03   6.548583e-04
 9.000000e-03   2.562246e-03   7.833491e-04
 9.048000e-03   1.119574e-03   5.354702e-04
 9.096000e-03   5.293945e-04   1.902272e-04
 9.144000e-03   1.549812e-03   7.885764e-04
 9.192000e-03   7.902071e-04   3.242600e-04
 9.240000e-03   1.716041e-03   4.680146e-04
 9.288000e-03   5.647445e-03   1.385507e-03
 9.336000e-03   1.095861e-02   4.250344e-03
 9.384000e-03   2.181792e-03   5.184925e-04
 9.432000e-03   4.281912e-03   1.518599e-03
 9.480000e-03   1.068329e-03   4.259164e-04
 9.528000e-03   2.598423e-03   7.175550e-04
 9.576000e-03   4.016441e-03   1.330875e-03
