Eph_cms bin centers    value    Error 
 2.684300e+04   1.898245e-08   1.770894e-08
 2.694260e+04   0.000000e+00   0.000000e+00
 2.704220e+04   0.000000e+00   0.000000e+00
 2.714180e+04   4.398948e-08   3.159206e-08
 2.724140e+04   1.730932e-08   1.411566e-08
 2.734100e+04   0.000000e+00   0.000000e+00
 2.744060e+04   3.041453e-08   2.199986e-08
 2.754020e+04   2.053147e-08   1.557784e-08
 2.763980e+04   3.335759e-08   1.930307e-08
 2.773940e+04   6.241417e-08   4.392056e-08
 2.783900e+04   2.590977e-08   1.844677e-08
 2.793860e+04   1.873438e-08   1.331178e-08
 2.803820e+04   0.000000e+00   0.000000e+00
 2.813780e+04   0.000000e+00   0.000000e+00
 2.823740e+04   2.942175e-12   2.942058e-12
 2.833700e+04   1.193818e-08   8.438054e-09
 2.843660e+04   2.907345e-08   1.915338e-08
 2.853620e+04   6.171385e-08   4.404502e-08
 2.863580e+04   2.591561e-08   2.162416e-08
 2.873540e+04   2.133439e-09   1.866050e-09
 2.883500e+04   1.479788e-08   1.216452e-08
 2.893460e+04   5.315434e-08   4.475156e-08
 2.903420e+04   5.567245e-14   5.567238e-14
 2.913380e+04   3.270945e-08   2.640903e-08
 2.923340e+04   7.615358e-09   6.600316e-09
 2.933300e+04   3.756085e-09   3.557422e-09
 2.943260e+04   5.599650e-09   4.715375e-09
 2.953220e+04   1.475373e-08   1.169011e-08
 2.963180e+04   5.542002e-08   3.769092e-08
 2.973140e+04   6.592142e-08   4.637202e-08
 2.983100e+04   1.037636e-07   8.512653e-08
 2.993060e+04   7.553459e-09   7.136432e-09
 3.003020e+04   0.000000e+00   0.000000e+00
 3.012980e+04   0.000000e+00   0.000000e+00
 3.022940e+04   0.000000e+00   0.000000e+00
 3.032900e+04   0.000000e+00   0.000000e+00
 3.042860e+04   0.000000e+00   0.000000e+00
 3.052820e+04   0.000000e+00   0.000000e+00
 3.062780e+04   0.000000e+00   0.000000e+00
 3.072740e+04   0.000000e+00   0.000000e+00
 3.082700e+04   0.000000e+00   0.000000e+00
 3.092660e+04   0.000000e+00   0.000000e+00
 3.102620e+04   0.000000e+00   0.000000e+00
 3.112580e+04   0.000000e+00   0.000000e+00
 3.122540e+04   0.000000e+00   0.000000e+00
 3.132500e+04   0.000000e+00   0.000000e+00
 3.142460e+04   0.000000e+00   0.000000e+00
 3.152420e+04   0.000000e+00   0.000000e+00
 3.162380e+04   0.000000e+00   0.000000e+00
 3.172340e+04   0.000000e+00   0.000000e+00
 3.182300e+04   0.000000e+00   0.000000e+00
 3.192260e+04   0.000000e+00   0.000000e+00
 3.202220e+04   0.000000e+00   0.000000e+00
 3.212180e+04   0.000000e+00   0.000000e+00
 3.222140e+04   0.000000e+00   0.000000e+00
 3.232100e+04   0.000000e+00   0.000000e+00
 3.242060e+04   0.000000e+00   0.000000e+00
 3.252020e+04   0.000000e+00   0.000000e+00
 3.261980e+04   0.000000e+00   0.000000e+00
 3.271940e+04   0.000000e+00   0.000000e+00
 3.281900e+04   0.000000e+00   0.000000e+00
 3.291860e+04   0.000000e+00   0.000000e+00
 3.301820e+04   0.000000e+00   0.000000e+00
 3.311780e+04   0.000000e+00   0.000000e+00
 3.321740e+04   0.000000e+00   0.000000e+00
 3.331700e+04   0.000000e+00   0.000000e+00
 3.341660e+04   0.000000e+00   0.000000e+00
