phi5_x_lab bin centers    value    Error 
-5.832000e-03   2.674800e-03   7.703853e-04
-5.784000e-03   2.061665e-03   7.209337e-04
-5.736000e-03   3.143910e-04   1.659498e-04
-5.688000e-03   2.950631e-04   1.181677e-04
-5.640000e-03   4.409515e-04   1.931884e-04
-5.592000e-03   1.207471e-03   3.591981e-04
-5.544000e-03   3.276221e-03   6.772063e-04
-5.496000e-03   3.437114e-03   9.865505e-04
-5.448000e-03   1.426037e-03   4.211117e-04
-5.400000e-03   8.283761e-04   1.922686e-04
-5.352000e-03   1.352002e-03   4.525461e-04
-5.304000e-03   2.393250e-03   6.526235e-04
-5.256000e-03   3.297238e-04   1.661978e-04
-5.208000e-03   1.988824e-03   4.699043e-04
-5.160000e-03   3.083764e-03   9.410683e-04
-5.112000e-03   2.741958e-03   1.004504e-03
-5.064000e-03   4.088674e-03   1.064952e-03
-5.016000e-03   1.599498e-03   4.827863e-04
-4.968000e-03   1.794201e-03   5.418848e-04
-4.920000e-03   1.908349e-03   5.136854e-04
-4.872000e-03   2.026537e-05   1.276912e-05
-4.824000e-03   3.565741e-03   1.232831e-03
-4.776000e-03   1.036705e-03   3.856093e-04
-4.728000e-03   9.326121e-04   3.155696e-04
-4.680000e-03   2.320242e-03   7.168184e-04
-4.632000e-03   8.691188e-04   3.672146e-04
-4.584000e-03   1.918119e-03   5.137554e-04
-4.536000e-03   4.270062e-04   2.307640e-04
-4.488000e-03   1.444383e-03   4.981492e-04
-4.440000e-03   2.806465e-03   6.526901e-04
-4.392000e-03   3.368317e-04   2.157764e-04
-4.344000e-03   1.992120e-03   5.371577e-04
-4.296000e-03   1.798094e-03   4.781341e-04
-4.248000e-03   2.437607e-03   7.195248e-04
-4.200000e-03   1.528572e-03   5.758017e-04
-4.152000e-03   2.945258e-03   9.326506e-04
-4.104000e-03   3.815849e-03   1.211520e-03
-4.056000e-03   2.453471e-03   7.261761e-04
-4.008000e-03   2.240987e-03   7.762748e-04
-3.960000e-03   8.746058e-04   2.733628e-04
