Emu bin centers    value    Error 
 9.883400e+04   8.640744e-06   2.300096e-07
 9.884600e+04   8.125633e-06   2.091431e-07
 9.885800e+04   8.783861e-06   2.593596e-07
 9.887000e+04   8.191681e-06   2.189024e-07
 9.888200e+04   8.855663e-06   2.427169e-07
 9.889400e+04   9.096234e-06   2.682226e-07
 9.890600e+04   8.663073e-06   2.061980e-07
 9.891800e+04   8.762884e-06   3.051185e-07
 9.893000e+04   9.298358e-06   1.965315e-07
 9.894200e+04   9.399558e-06   3.176283e-07
 9.895400e+04   9.272709e-06   2.839841e-07
 9.896600e+04   9.804676e-06   1.855270e-07
 9.897800e+04   9.552247e-06   2.280059e-07
 9.899000e+04   3.371528e-06   1.367369e-07
 9.900200e+04   0.000000e+00   0.000000e+00
 9.901400e+04   0.000000e+00   0.000000e+00
 9.902600e+04   0.000000e+00   0.000000e+00
 9.903800e+04   0.000000e+00   0.000000e+00
 9.905000e+04   0.000000e+00   0.000000e+00
 9.906200e+04   0.000000e+00   0.000000e+00
 9.907400e+04   0.000000e+00   0.000000e+00
 9.908600e+04   0.000000e+00   0.000000e+00
 9.909800e+04   0.000000e+00   0.000000e+00
 9.911000e+04   0.000000e+00   0.000000e+00
 9.912200e+04   0.000000e+00   0.000000e+00
 9.913400e+04   0.000000e+00   0.000000e+00
 9.914600e+04   0.000000e+00   0.000000e+00
 9.915800e+04   0.000000e+00   0.000000e+00
 9.917000e+04   0.000000e+00   0.000000e+00
 9.918200e+04   0.000000e+00   0.000000e+00
 9.919400e+04   0.000000e+00   0.000000e+00
 9.920600e+04   0.000000e+00   0.000000e+00
 9.921800e+04   0.000000e+00   0.000000e+00
 9.923000e+04   0.000000e+00   0.000000e+00
 9.924200e+04   0.000000e+00   0.000000e+00
 9.925400e+04   0.000000e+00   0.000000e+00
 9.926600e+04   0.000000e+00   0.000000e+00
 9.927800e+04   0.000000e+00   0.000000e+00
 9.929000e+04   0.000000e+00   0.000000e+00
 9.930200e+04   0.000000e+00   0.000000e+00
 9.931400e+04   0.000000e+00   0.000000e+00
 9.932600e+04   0.000000e+00   0.000000e+00
 9.933800e+04   0.000000e+00   0.000000e+00
 9.935000e+04   0.000000e+00   0.000000e+00
 9.936200e+04   0.000000e+00   0.000000e+00
 9.937400e+04   0.000000e+00   0.000000e+00
 9.938600e+04   0.000000e+00   0.000000e+00
 9.939800e+04   0.000000e+00   0.000000e+00
 9.941000e+04   0.000000e+00   0.000000e+00
 9.942200e+04   0.000000e+00   0.000000e+00
 9.943400e+04   0.000000e+00   0.000000e+00
 9.944600e+04   0.000000e+00   0.000000e+00
 9.945800e+04   0.000000e+00   0.000000e+00
 9.947000e+04   0.000000e+00   0.000000e+00
 9.948200e+04   0.000000e+00   0.000000e+00
 9.949400e+04   0.000000e+00   0.000000e+00
 9.950600e+04   0.000000e+00   0.000000e+00
 9.951800e+04   0.000000e+00   0.000000e+00
 9.953000e+04   0.000000e+00   0.000000e+00
 9.954200e+04   0.000000e+00   0.000000e+00
 9.955400e+04   0.000000e+00   0.000000e+00
 9.956600e+04   0.000000e+00   0.000000e+00
 9.957800e+04   0.000000e+00   0.000000e+00
 9.959000e+04   0.000000e+00   0.000000e+00
 9.960200e+04   0.000000e+00   0.000000e+00
 9.961400e+04   0.000000e+00   0.000000e+00
 9.962600e+04   0.000000e+00   0.000000e+00
 9.963800e+04   0.000000e+00   0.000000e+00
 9.965000e+04   0.000000e+00   0.000000e+00
 9.966200e+04   0.000000e+00   0.000000e+00
 9.967400e+04   0.000000e+00   0.000000e+00
 9.968600e+04   0.000000e+00   0.000000e+00
 9.969800e+04   0.000000e+00   0.000000e+00
 9.971000e+04   0.000000e+00   0.000000e+00
 9.972200e+04   0.000000e+00   0.000000e+00
 9.973400e+04   0.000000e+00   0.000000e+00
 9.974600e+04   0.000000e+00   0.000000e+00
 9.975800e+04   0.000000e+00   0.000000e+00
 9.977000e+04   0.000000e+00   0.000000e+00
 9.978200e+04   0.000000e+00   0.000000e+00
 9.979400e+04   0.000000e+00   0.000000e+00
 9.980600e+04   0.000000e+00   0.000000e+00
 9.981800e+04   0.000000e+00   0.000000e+00
 9.983000e+04   0.000000e+00   0.000000e+00
 9.984200e+04   0.000000e+00   0.000000e+00
 9.985400e+04   0.000000e+00   0.000000e+00
 9.986600e+04   0.000000e+00   0.000000e+00
 9.987800e+04   0.000000e+00   0.000000e+00
 9.989000e+04   0.000000e+00   0.000000e+00
 9.990200e+04   0.000000e+00   0.000000e+00
 9.991400e+04   0.000000e+00   0.000000e+00
 9.992600e+04   0.000000e+00   0.000000e+00
 9.993800e+04   0.000000e+00   0.000000e+00
 9.995000e+04   0.000000e+00   0.000000e+00
 9.996200e+04   0.000000e+00   0.000000e+00
 9.997400e+04   0.000000e+00   0.000000e+00
 9.998600e+04   3.248570e-01   1.557070e-03
 9.999800e+04   0.000000e+00   0.000000e+00
 1.000100e+05   0.000000e+00   0.000000e+00
 1.000220e+05   0.000000e+00   0.000000e+00
 1.000340e+05   0.000000e+00   0.000000e+00
 1.000460e+05   0.000000e+00   0.000000e+00
 1.000580e+05   0.000000e+00   0.000000e+00
 1.000700e+05   0.000000e+00   0.000000e+00
 1.000820e+05   0.000000e+00   0.000000e+00
 1.000940e+05   0.000000e+00   0.000000e+00
 1.001060e+05   0.000000e+00   0.000000e+00
 1.001180e+05   0.000000e+00   0.000000e+00
 1.001300e+05   0.000000e+00   0.000000e+00
 1.001420e+05   0.000000e+00   0.000000e+00
 1.001540e+05   0.000000e+00   0.000000e+00
 1.001660e+05   0.000000e+00   0.000000e+00
 1.001780e+05   0.000000e+00   0.000000e+00
 1.001900e+05   0.000000e+00   0.000000e+00
 1.002020e+05   0.000000e+00   0.000000e+00
 1.002140e+05   0.000000e+00   0.000000e+00
 1.002260e+05   0.000000e+00   0.000000e+00
 1.002380e+05   0.000000e+00   0.000000e+00
 1.002500e+05   0.000000e+00   0.000000e+00
 1.002620e+05   0.000000e+00   0.000000e+00
 1.002740e+05   0.000000e+00   0.000000e+00
 1.002860e+05   0.000000e+00   0.000000e+00
 1.002980e+05   0.000000e+00   0.000000e+00
 1.003100e+05   0.000000e+00   0.000000e+00
 1.003220e+05   0.000000e+00   0.000000e+00
 1.003340e+05   0.000000e+00   0.000000e+00
 1.003460e+05   0.000000e+00   0.000000e+00
 1.003580e+05   0.000000e+00   0.000000e+00
 1.003700e+05   0.000000e+00   0.000000e+00
 1.003820e+05   0.000000e+00   0.000000e+00
