th3 bin centers    value    Error 
 1.702500e-03   0.000000e+00   0.000000e+00
 1.705900e-03   0.000000e+00   0.000000e+00
 1.709300e-03   0.000000e+00   0.000000e+00
 1.712700e-03   0.000000e+00   0.000000e+00
 1.716100e-03   0.000000e+00   0.000000e+00
 1.719500e-03   0.000000e+00   0.000000e+00
 1.722900e-03   0.000000e+00   0.000000e+00
 1.726300e-03   0.000000e+00   0.000000e+00
 1.729700e-03   0.000000e+00   0.000000e+00
 1.733100e-03   0.000000e+00   0.000000e+00
 1.736500e-03   0.000000e+00   0.000000e+00
 1.739900e-03   0.000000e+00   0.000000e+00
 1.743300e-03   0.000000e+00   0.000000e+00
 1.746700e-03   0.000000e+00   0.000000e+00
 1.750100e-03   0.000000e+00   0.000000e+00
 1.753500e-03   0.000000e+00   0.000000e+00
 1.756900e-03   0.000000e+00   0.000000e+00
 1.760300e-03   0.000000e+00   0.000000e+00
 1.763700e-03   0.000000e+00   0.000000e+00
 1.767100e-03   0.000000e+00   0.000000e+00
 1.770500e-03   0.000000e+00   0.000000e+00
 1.773900e-03   0.000000e+00   0.000000e+00
 1.777300e-03   0.000000e+00   0.000000e+00
 1.780700e-03   0.000000e+00   0.000000e+00
 1.784100e-03   0.000000e+00   0.000000e+00
 1.787500e-03   0.000000e+00   0.000000e+00
 1.790900e-03   0.000000e+00   0.000000e+00
 1.794300e-03   0.000000e+00   0.000000e+00
 1.797700e-03   0.000000e+00   0.000000e+00
 1.801100e-03   0.000000e+00   0.000000e+00
 1.804500e-03   0.000000e+00   0.000000e+00
 1.807900e-03   0.000000e+00   0.000000e+00
 1.811300e-03   0.000000e+00   0.000000e+00
 1.814700e-03   0.000000e+00   0.000000e+00
 1.818100e-03   0.000000e+00   0.000000e+00
 1.821500e-03   0.000000e+00   0.000000e+00
 1.824900e-03   0.000000e+00   0.000000e+00
 1.828300e-03   0.000000e+00   0.000000e+00
 1.831700e-03   0.000000e+00   0.000000e+00
 1.835100e-03   0.000000e+00   0.000000e+00
 1.838500e-03   0.000000e+00   0.000000e+00
